_address	name	description	unit	type	len	factor	offset	formula	role	room	poll	wp	cw	isScale
41001	Betriebsart	Betriebsart		uint16be	1	1	0		state		WAHR	FALSCH		
41002	Raumtemp-Tag-HK1	Raumsolltemperatur Tag - HK 1	°C	int16be	1	1	0		value.temperature		WAHR	FALSCH		
41003	Raumtemp-Nacht-HK1	Raumsolltemperatur Nacht - HK 1	°C	int16be	1	1	0		value.temperature		WAHR	FALSCH		
41004	Heizkreistemp-Soll-Hand-HK1	Heizkreistemperatur Soll - Hand - HK 1	°C	int16be	1	1	0		value.temperature		WAHR	FALSCH		
41005	Raumtemp-Tag-HK2	Raumsolltemperatur Tag - HK 2	°C	int16be	1	1	0		value.temperature		WAHR	FALSCH		
41006	Raumtemp-Nacht-HK2	Raumsolltemperatur Nacht - HK 2	°C	int16be	1	1	0		value.temperature		WAHR	FALSCH		
41007	Heizkreistemp-Soll-Hand-HK2	Heizkreistemperatur Soll - Hand - HK 2	°C	int16be	1	1	0		value.temperature		WAHR	FALSCH		
41008	Heizkurve_HK1-Steigung	Heizkurve HK1 - Steigung		int16be	1	1	0		level		WAHR	FALSCH		
41009	Heizkurve_HK1-Fusspunkt	Heizkurve HK1 - Fusspunkt	°C	int16be	1	1	0		value.temperature		WAHR	FALSCH		
41010	Heizkurve_HK2-Steigung	Heizkurve HK2 - Steigung		int16be	1	1	0		level		WAHR	FALSCH		
41011	Heizkurve_HK2-Fusspunkt	Heizkurve HK2 - Fusspunkt	°C	int16be	1	1	0		value.temperature		WAHR	FALSCH		
41012	WW-Soll-Tag	Warmwasser Soll - Tag	°C	int16be	1	1	0		value.temperature		WAHR	FALSCH		
41013	WW-Soll-Nacht	Warmwasser Soll - Nacht	°C	int16be	1	1	0		value.temperature		WAHR	FALSCH		
41014	WW-Soll-Handbetrieb	Warmwasser Soll - Handbetrieb	°C	int16be	1	1	0		value.temperature		WAHR	FALSCH		
41015	MWM-Soll-Tag	MWM-Soll - Tag	l	uint16be	1	1	0		value.valve		WAHR	FALSCH		
41016	MWM-Soll-Nacht	MWM-Soll-Nacht	l	uint16be	1	1	0		value.valve		WAHR	FALSCH		
41017	MWM-Soll-Handbetrieb	MWM-Soll - Handbetrieb	l	uint16be	1	1	0		value.valve		WAHR	FALSCH		
41018	Lueftung-Stufe-Tag	Lüftung-Stufe - Tag		uint16be	1	1	0		level.valve		WAHR	FALSCH		
41019	Lueftung-Stufe-Nacht	Lüftung-Stufe - Nacht		uint16be	1	1	0		level.valve		WAHR	FALSCH		
41020	Lueftung-Stufe-Party	Lüftung-Stufe - Party		uint16be	1	1	0		level.valve		WAHR	FALSCH		
41021	Lueftung-Stufe-Hand	Lüftung-Stufe - Hand		uint16be	1	1	0		level.valve		WAHR	FALSCH		
41022	Raumtemp-Kuehlen-HK1-Tag	Raumtemperatur Kühlen HK 1 - Tag	°C	uint16be	1	1	0		value.temperature		WAHR	FALSCH		
41023	Raumtemp-Kuehlen-HK1-Nacht	Raumtemperatur Kühlen HK 1 - Nacht	°C	uint16be	1	1	0		value.temperature		WAHR	FALSCH		
41024	Raumtemp-Kuehlen-HK2-Tag	Raumtemperatur Kühlen HK 2 - Tag	°C	uint16be	1	1	0		value.temperature		WAHR	FALSCH		
41025	Raumtemp-Kuehlen-HK2-Nacht	Raumtemperatur Kühlen HK 2 - Nacht	°C	uint16be	1	1	0		value.temperature		WAHR	FALSCH		
41026	Reset	Reset		uint16be	1	1	0		state		WAHR	FALSCH		
41027	Restart-ISG	Restart ISG		uint16be	1	1	0		state		WAHR	FALSCH		
44001	SG_Ready_ein-_und_ausschalten	SG Ready		uint16be	1	1	0		indicator		WAHR	FALSCH		
44002	SG_Ready_Eingang1	SG Ready - Eingang 1		uint16be	1	1	0		indicator		WAHR	FALSCH		
44003	SG_Ready_Eingang2	SG Ready - Eingang 2		uint16be	1	1	0		indicator		WAHR	FALSCH		
